run_id=mock-smoke-A repetition=1 requests=200 max_slip=100ms
schedule item=45 offset=2.167823711s input_tokens=124 max_tokens=61
schedule item=46 offset=2.211864987s input_tokens=103 max_tokens=19
schedule item=47 offset=2.282779973s input_tokens=71 max_tokens=28
schedule item=48 offset=2.317289771s input_tokens=132 max_tokens=58
schedule item=49 offset=2.360845833s input_tokens=150 max_tokens=25
schedule item=50 offset=2.392792243s input_tokens=81 max_tokens=37
schedule item=51 offset=2.409382175s input_tokens=129 max_tokens=29
schedule item=52 offset=2.53060151s input_tokens=106 max_tokens=91
schedule item=53 offset=2.579933605s input_tokens=124 max_tokens=16
schedule item=54 offset=2.621144364s input_tokens=99 max_tokens=24
schedule item=55 offset=2.631789384s input_tokens=131 max_tokens=71
schedule item=56 offset=2.672550889s input_tokens=119 max_tokens=15
schedule item=57 offset=2.717337315s input_tokens=69 max_tokens=8
schedule item=58 offset=2.719955378s input_tokens=110 max_tokens=32
schedule item=59 offset=2.7511055s input_tokens=53 max_tokens=33
schedule item=60 offset=2.783620694s input_tokens=95 max_tokens=43
schedule item=61 offset=2.814293272s input_tokens=144 max_tokens=55
schedule item=62 offset=2.831448467s input_tokens=108 max_tokens=62
schedule item=63 offset=2.882170889s input_tokens=134 max_tokens=66
schedule item=64 offset=2.9342882s input_tokens=184 max_tokens=22
schedule item=65 offset=2.950131668s input_tokens=181 max_tokens=51
schedule item=66 offset=3.060473003s input_tokens=96 max_tokens=54
schedule item=67 offset=3.071385903s input_tokens=147 max_tokens=32
schedule item=68 offset=3.097271279s input_tokens=181 max_tokens=34
schedule item=69 offset=3.117337626s input_tokens=177 max_tokens=54
schedule item=70 offset=3.118930488s input_tokens=111 max_tokens=35
schedule item=71 offset=3.194286457s input_tokens=88 max_tokens=54
schedule item=72 offset=3.238925016s input_tokens=100 max_tokens=25
schedule item=73 offset=3.300034944s input_tokens=124 max_tokens=30
schedule item=74 offset=3.381781468s input_tokens=22 max_tokens=16
schedule item=75 offset=3.423186311s input_tokens=175 max_tokens=29
schedule item=76 offset=3.510513742s input_tokens=79 max_tokens=42
schedule item=77 offset=3.539929389s input_tokens=179 max_tokens=33
schedule item=78 offset=3.573304501s input_tokens=135 max_tokens=31
schedule item=79 offset=3.713220116s input_tokens=186 max_tokens=34
schedule item=80 offset=3.786247282s input_tokens=149 max_tokens=17
schedule item=81 offset=3.808553272s input_tokens=80 max_tokens=26
schedule item=82 offset=3.854451455s input_tokens=45 max_tokens=23
schedule item=83 offset=3.858336186s input_tokens=22 max_tokens=80
schedule item=84 offset=3.954082475s input_tokens=136 max_tokens=28
schedule item=85 offset=4.023919863s input_tokens=92 max_tokens=52
schedule item=86 offset=4.039846965s input_tokens=60 max_tokens=55
schedule item=87 offset=4.064921347s input_tokens=114 max_tokens=38
schedule item=88 offset=4.112629594s input_tokens=169 max_tokens=29
schedule item=89 offset=4.286364821s input_tokens=93 max_tokens=21
schedule item=90 offset=4.318931099s input_tokens=121 max_tokens=81
schedule item=91 offset=4.378610474s input_tokens=107 max_tokens=34
schedule item=92 offset=4.548467089s input_tokens=215 max_tokens=23
schedule item=93 offset=4.569174918s input_tokens=156 max_tokens=25
schedule item=94 offset=4.673271684s input_tokens=131 max_tokens=32
schedule item=95 offset=4.811804583s input_tokens=182 max_tokens=30
schedule item=96 offset=4.82630969s input_tokens=93 max_tokens=19
schedule item=97 offset=4.837761491s input_tokens=129 max_tokens=30
schedule item=98 offset=4.891872437s input_tokens=111 max_tokens=28
schedule item=99 offset=4.903649733s input_tokens=156 max_tokens=70
schedule item=100 offset=4.90448671s input_tokens=142 max_tokens=59
schedule item=101 offset=4.979756753s input_tokens=82 max_tokens=106
schedule item=102 offset=5.016369122s input_tokens=123 max_tokens=24
schedule item=103 offset=5.0269688s input_tokens=167 max_tokens=37
schedule item=104 offset=5.047088835s input_tokens=161 max_tokens=78
schedule item=105 offset=5.049942709s input_tokens=97 max_tokens=36
schedule item=106 offset=5.093513039s input_tokens=65 max_tokens=17
schedule item=107 offset=5.142165668s input_tokens=67 max_tokens=88
schedule item=108 offset=5.156895802s input_tokens=152 max_tokens=25
schedule item=109 offset=5.287972453s input_tokens=110 max_tokens=76
schedule item=110 offset=5.360670713s input_tokens=80 max_tokens=85
schedule item=111 offset=5.361481838s input_tokens=63 max_tokens=18
schedule item=112 offset=5.411277039s input_tokens=162 max_tokens=53
schedule item=113 offset=5.451485688s input_tokens=156 max_tokens=17
schedule item=114 offset=5.457427538s input_tokens=69 max_tokens=28
schedule item=115 offset=5.469307253s input_tokens=81 max_tokens=36
schedule item=116 offset=5.505542415s input_tokens=179 max_tokens=43
schedule item=117 offset=5.532708579s input_tokens=197 max_tokens=26
schedule item=118 offset=5.66048704s input_tokens=69 max_tokens=46
schedule item=119 offset=5.825375669s input_tokens=55 max_tokens=12
schedule item=120 offset=5.860883222s input_tokens=106 max_tokens=38
schedule item=121 offset=5.897304152s input_tokens=133 max_tokens=51
schedule item=122 offset=5.910241325s input_tokens=116 max_tokens=26
schedule item=123 offset=5.946576217s input_tokens=121 max_tokens=33
schedule item=124 offset=6.038635162s input_tokens=129 max_tokens=39
schedule item=125 offset=6.051997018s input_tokens=115 max_tokens=40
schedule item=126 offset=6.086878668s input_tokens=181 max_tokens=55
schedule item=127 offset=6.220079679s input_tokens=117 max_tokens=25
schedule item=128 offset=6.267139566s input_tokens=73 max_tokens=54
schedule item=129 offset=6.302610414s input_tokens=107 max_tokens=65
schedule item=130 offset=6.425029195s input_tokens=105 max_tokens=17
schedule item=131 offset=6.4492669s input_tokens=92 max_tokens=33
schedule item=132 offset=6.54816112s input_tokens=154 max_tokens=12
schedule item=133 offset=6.727310687s input_tokens=112 max_tokens=15
schedule item=134 offset=6.802260659s input_tokens=88 max_tokens=14
schedule item=135 offset=6.815922566s input_tokens=111 max_tokens=18
schedule item=136 offset=6.816706276s input_tokens=64 max_tokens=41
schedule item=137 offset=6.823380759s input_tokens=155 max_tokens=50
schedule item=138 offset=6.843679418s input_tokens=87 max_tokens=40
schedule item=139 offset=6.861496129s input_tokens=145 max_tokens=36
schedule item=140 offset=6.893762373s input_tokens=115 max_tokens=45
schedule item=141 offset=6.897473082s input_tokens=199 max_tokens=22
schedule item=142 offset=6.932661402s input_tokens=116 max_tokens=29
schedule item=143 offset=6.938670303s input_tokens=126 max_tokens=55
schedule item=144 offset=6.950845131s input_tokens=114 max_tokens=27
schedule item=145 offset=6.977300632s input_tokens=145 max_tokens=23
schedule item=146 offset=7.024926731s input_tokens=117 max_tokens=30
schedule item=147 offset=7.198879474s input_tokens=125 max_tokens=51
schedule item=148 offset=7.23307096s input_tokens=113 max_tokens=35
schedule item=149 offset=7.236457987s input_tokens=129 max_tokens=48
schedule item=150 offset=7.239412579s input_tokens=138 max_tokens=48
schedule item=151 offset=7.246033811s input_tokens=141 max_tokens=35
schedule item=152 offset=7.257343092s input_tokens=120 max_tokens=26
schedule item=153 offset=7.280346708s input_tokens=158 max_tokens=31
schedule item=154 offset=7.309856826s input_tokens=132 max_tokens=23
schedule item=155 offset=7.317144156s input_tokens=109 max_tokens=20
schedule item=156 offset=7.323805545s input_tokens=94 max_tokens=55
schedule item=157 offset=7.502616847s input_tokens=188 max_tokens=126
schedule item=158 offset=7.609417565s input_tokens=101 max_tokens=14
schedule item=159 offset=7.659669178s input_tokens=108 max_tokens=29
schedule item=160 offset=7.683158748s input_tokens=155 max_tokens=43
schedule item=161 offset=7.685392171s input_tokens=128 max_tokens=46
schedule item=162 offset=7.707444374s input_tokens=131 max_tokens=23
schedule item=163 offset=7.7489976s input_tokens=43 max_tokens=23
schedule item=164 offset=7.756153394s input_tokens=138 max_tokens=29
schedule item=165 offset=7.759854877s input_tokens=117 max_tokens=20
schedule item=166 offset=7.865584932s input_tokens=81 max_tokens=35
schedule item=167 offset=7.977538749s input_tokens=153 max_tokens=128
schedule item=168 offset=8.017168537s input_tokens=71 max_tokens=14
schedule item=169 offset=8.037851824s input_tokens=101 max_tokens=44
schedule item=170 offset=8.040464615s input_tokens=66 max_tokens=19
schedule item=171 offset=8.246330927s input_tokens=124 max_tokens=22
schedule item=172 offset=8.269819189s input_tokens=115 max_tokens=37
schedule item=173 offset=8.289542086s input_tokens=125 max_tokens=24
schedule item=174 offset=8.293182026s input_tokens=174 max_tokens=31
schedule item=175 offset=8.325752047s input_tokens=131 max_tokens=99
schedule item=176 offset=8.340495241s input_tokens=109 max_tokens=53
schedule item=177 offset=8.36759432s input_tokens=95 max_tokens=38
schedule item=178 offset=8.438800084s input_tokens=183 max_tokens=27
schedule item=179 offset=8.450219328s input_tokens=100 max_tokens=31
schedule item=180 offset=8.466706306s input_tokens=169 max_tokens=55
schedule item=181 offset=8.480187876s input_tokens=165 max_tokens=53
schedule item=182 offset=8.583714233s input_tokens=59 max_tokens=18
schedule item=183 offset=8.622960087s input_tokens=105 max_tokens=38
schedule item=184 offset=8.694845558s input_tokens=163 max_tokens=10
schedule item=185 offset=8.735242124s input_tokens=152 max_tokens=26
schedule item=186 offset=8.737074184s input_tokens=122 max_tokens=54
schedule item=187 offset=8.784078331s input_tokens=127 max_tokens=24
schedule item=188 offset=8.825482066s input_tokens=138 max_tokens=16
schedule item=189 offset=8.891382081s input_tokens=193 max_tokens=28
schedule item=190 offset=8.920971177s input_tokens=103 max_tokens=31
schedule item=191 offset=9.078152904s input_tokens=84 max_tokens=65
schedule item=192 offset=9.086293649s input_tokens=150 max_tokens=26
schedule item=193 offset=9.094948088s input_tokens=17 max_tokens=19
schedule item=194 offset=9.264177452s input_tokens=129 max_tokens=52
schedule item=195 offset=9.274779928s input_tokens=116 max_tokens=42
schedule item=196 offset=9.283151368s input_tokens=50 max_tokens=39
schedule item=197 offset=9.294124268s input_tokens=93 max_tokens=66
schedule item=198 offset=9.317094778s input_tokens=109 max_tokens=20
schedule item=199 offset=9.433112275s input_tokens=77 max_tokens=28
epoch=2026-07-10T09:20:52.306162Z
request item=0 id=mock-smoke-A-r1-000000 status=ok send_slip=1.912607ms body_sha256=3a1a4b39024f8df7dafdae068c1ba7b98564c456d18db0d3f71c69c59676a8e5
request item=2 id=mock-smoke-A-r1-000002 status=ok send_slip=1.312939ms body_sha256=769e2f14aa0e37718dc14a189625b2309ae58775b97de02db616045f430c772b
request item=3 id=mock-smoke-A-r1-000003 status=ok send_slip=805.703µs body_sha256=51cfaba2ad3f1abcc8d843123a8365806d881f6823880552254111138f92723e
request item=5 id=mock-smoke-A-r1-000005 status=ok send_slip=1.448343ms body_sha256=4702aa293142243fab796800d1e8446d331fa9b6cc3032198325cf4d3e151921
request item=4 id=mock-smoke-A-r1-000004 status=ok send_slip=1.389135ms body_sha256=d2427a53aed9c8a29bf7569362f07f6a6a2229019db8cdf4b964c74c94567553
request item=7 id=mock-smoke-A-r1-000007 status=ok send_slip=1.719259ms body_sha256=d0d52e2be727a2bfaa3d215eda4796d310b6fad66e8af55153c194991ad49e7b
request item=6 id=mock-smoke-A-r1-000006 status=ok send_slip=913.755µs body_sha256=bc1749a6e739640ada9f1a01ffc63b67916363bcb52dc6f75a11689a026d3ddc
request item=8 id=mock-smoke-A-r1-000008 status=ok send_slip=1.240863ms body_sha256=c2d3eedb8260ac278c7d86819421707ab797b5b4aa2d18d73fd242655f58925d
request item=1 id=mock-smoke-A-r1-000001 status=ok send_slip=2.306697ms body_sha256=d283e9afb636b1e5bcd8fed40e84a2139771d44e2d47d2b751b6b1d703a013d1
request item=10 id=mock-smoke-A-r1-000010 status=ok send_slip=698.717µs body_sha256=724d73de0be5b30fa1d3e2141854193e92fb978bb4865bd60d2f631a18c62356
request item=9 id=mock-smoke-A-r1-000009 status=ok send_slip=444.775µs body_sha256=7cd788646ba78fde9cdd9deb13af76d54223f81b9f5ac35831835f1845501c1a
request item=11 id=mock-smoke-A-r1-000011 status=ok send_slip=518.972µs body_sha256=5a5aa9f77fad4be66dcbe323bd24edae99f5e916211d4bdbf2870c3db0f114eb
request item=15 id=mock-smoke-A-r1-000015 status=ok send_slip=1.296347ms body_sha256=3bf39f6dfa3ba0d9d3fd7722afd8d28d4088717739eb271519b92dc2fa795640
request item=12 id=mock-smoke-A-r1-000012 status=ok send_slip=535.542µs body_sha256=b76cb8a6be600906c0870a3c805b8146de8d00d69a4fa2a88951fd0576264bfc
request item=18 id=mock-smoke-A-r1-000018 status=ok send_slip=1.279892ms body_sha256=0fd8a0474d4bd9cdc4ac575489f7862992d30762bcb740232314b57c4268cccd
request item=19 id=mock-smoke-A-r1-000019 status=ok send_slip=950.873µs body_sha256=f88a29fe060f7b75f93c5f4c4c62cdf6a5149ea59e57828ecabc1e9cee8148ea
request item=13 id=mock-smoke-A-r1-000013 status=ok send_slip=729.311µs body_sha256=15bf9a20b7fa3aa9521aee6a7e58987507043025de049fbd1f631b3e2331a486
request item=20 id=mock-smoke-A-r1-000020 status=ok send_slip=708.289µs body_sha256=8e30317d0cab201966415573495a81d26409daeb6409c1faa82b028724741832
request item=14 id=mock-smoke-A-r1-000014 status=ok send_slip=1.034173ms body_sha256=06bc3758c5a1ae64f5e4a705c59150f34cd0f3a362e4640c5347c2572110a2d3
request item=17 id=mock-smoke-A-r1-000017 status=ok send_slip=1.807848ms body_sha256=5558e5255f6467fc5986e16605642537262aad69de694336e35d478a42365996
request item=21 id=mock-smoke-A-r1-000021 status=ok send_slip=1.065471ms body_sha256=f518b721d93dff3647bdf11755ab10664f9ad6a4a380f88e1880b3c2a7257738
request item=23 id=mock-smoke-A-r1-000023 status=ok send_slip=1.074968ms body_sha256=de867ceb4b5ea80569cc4e35996f6511ef63724dffab41d4eae9652eda3014f3
request item=24 id=mock-smoke-A-r1-000024 status=ok send_slip=1.1272ms body_sha256=0bdb3016dabecc38d293948ea6d38627c1bbeb8674f0be91520ce4f47c1fb3e1
request item=16 id=mock-smoke-A-r1-000016 status=ok send_slip=1.16393ms body_sha256=0aaab2d3f8f0c22e59197c0f3fde9a27215e93d2186a3c8243a182c4d9982582
request item=22 id=mock-smoke-A-r1-000022 status=ok send_slip=668.749µs body_sha256=8515ba512a5edb193c5914b47ce49fffc81d3a0aae831cd91e5608fedab6038d
request item=28 id=mock-smoke-A-r1-000028 status=ok send_slip=859.273µs body_sha256=43313e3041d0e7454ebc20924a1b2b68b27d5b3fa841d91f521fbff6f21a5f9c
request item=26 id=mock-smoke-A-r1-000026 status=ok send_slip=1.311509ms body_sha256=44aa4befce159a01d5484d0ef16d586002a26dac9bb15d74dad471a50db8a7c6
request item=25 id=mock-smoke-A-r1-000025 status=ok send_slip=892.733µs body_sha256=122f5f929c9d8a12ddde2fc90ace853a8aec1f22c5b30dc957eedcadf8b43b29
request item=30 id=mock-smoke-A-r1-000030 status=ok send_slip=1.052378ms body_sha256=3c727889bc566e14e7546f96e43cf8c9e7d4ea28d8f33a6ebdef3506cbe4d3c2
request item=33 id=mock-smoke-A-r1-000033 status=ok send_slip=1.333428ms body_sha256=c9e467f84a139c6ebea0ad861840d1629d1b8619adde8064feb83d1fa97a556a
request item=32 id=mock-smoke-A-r1-000032 status=ok send_slip=1.252722ms body_sha256=f3c4c605c66a74ff18e18d83195b1ed3e3f504cfc92f7cc67d39b6b29ab695de
request item=31 id=mock-smoke-A-r1-000031 status=ok send_slip=700.651µs body_sha256=a5b8f20e55b3d608a52defc346c1e247e49b5b4c744a235d112182fd404c4ecd
request item=34 id=mock-smoke-A-r1-000034 status=ok send_slip=1.07579ms body_sha256=c5b4018f9ccd7ef2b8c55d7cd3c6f3216de36f810f985e639517f8aa3ecfb8ba
request item=29 id=mock-smoke-A-r1-000029 status=ok send_slip=740.133µs body_sha256=27139e6a2967b87de35f22d21869b571791fabb3f13efb0a2530bae7e47185dd
request item=27 id=mock-smoke-A-r1-000027 status=ok send_slip=998.561µs body_sha256=7725fda1ed57e1b374b8cfa8c5c0eb6a06563177f67740eec277e04b02140cd6
request item=36 id=mock-smoke-A-r1-000036 status=ok send_slip=1.536487ms body_sha256=ae4ad10f8aac16883e8f06b410d51818c7c2ec5fa60504fbff31461729e21140
request item=37 id=mock-smoke-A-r1-000037 status=ok send_slip=1.105518ms body_sha256=d7762de46e1dab57248c1cbe3eaa4332bc9a2993e5766ae49070fa6fa0ff803b
request item=35 id=mock-smoke-A-r1-000035 status=ok send_slip=964.018µs body_sha256=2a563fb22de7f284974d659475be2254a49dde4937eb44a5be767ae5dac64181
request item=41 id=mock-smoke-A-r1-000041 status=ok send_slip=1.140143ms body_sha256=dd17cbd812cb55f881554a6a33a1b7ed90b0bda241a10e42677c0f560e1a8b0e
request item=40 id=mock-smoke-A-r1-000040 status=ok send_slip=1.628212ms body_sha256=6425a247fbbaac888356d1d1842f05af3bb0acdb57b03fa6fa5e3847ad046fda
request item=38 id=mock-smoke-A-r1-000038 status=ok send_slip=863.999µs body_sha256=d6166e10ec457e109cc3235fc2e44f108b92ef295e238f5a21a13d397e49ba70
request item=44 id=mock-smoke-A-r1-000044 status=ok send_slip=858.702µs body_sha256=11a85112888e839b68697f511e2a01d3dcb10a9f933f63584488f61c04eb9126
request item=43 id=mock-smoke-A-r1-000043 status=ok send_slip=510.592µs body_sha256=b44c4675b7238d9b87a3c36f3c430b5461f9dacc82c611e24bfbb9a0b51c7403
request item=46 id=mock-smoke-A-r1-000046 status=ok send_slip=1.002489ms body_sha256=2fbbd4d5c436ea3f729c2cb0b87ae2b51c1519a84b4e44979ef5ff81f73c3cd5
request item=39 id=mock-smoke-A-r1-000039 status=ok send_slip=492.621µs body_sha256=f9b527c048c28742de26e91af3125543fbd8a37ea3fc82aba5637f67dedadad7
request item=42 id=mock-smoke-A-r1-000042 status=ok send_slip=1.134122ms body_sha256=b3feef45a413f4e741de2eb87f86d039369c070505960d202f92c8c04a74cb8d
request item=45 id=mock-smoke-A-r1-000045 status=ok send_slip=1.512924ms body_sha256=1db83903b60b3959b426a84748591dab9bf3a9adcee2e94192367a4c38867b9b
request item=47 id=mock-smoke-A-r1-000047 status=ok send_slip=670.62µs body_sha256=4a69b6ab5764ceb253e8013a535aec20a4ee7a76375f3eb77e37493a7eada4a8
request item=49 id=mock-smoke-A-r1-000049 status=ok send_slip=174.51µs body_sha256=4ca582110222a41947d44ff5a8034c9aa3ef74811a0c3652dc18a8051cc8a3b1
request item=51 id=mock-smoke-A-r1-000051 status=ok send_slip=1.203052ms body_sha256=9228d5fbfc484b26656bdcb78ac03498e97856d7cb38e2150de7fd2e9fdd831a
request item=50 id=mock-smoke-A-r1-000050 status=ok send_slip=710.975µs body_sha256=3a903bee1ca3ce84b8b0c1e5630bd422aa8b3bf2a4dec58f763ded3368e9ac4f
request item=48 id=mock-smoke-A-r1-000048 status=ok send_slip=812.019µs body_sha256=7e7df577e21dfd02b8fe5e597bb6ffbb9fe8fe1846085525756e3ee80caa579c
request item=53 id=mock-smoke-A-r1-000053 status=ok send_slip=660.389µs body_sha256=030f4759c422fe254814e4d9f44aca77d1c93368c0263da91de1ba40f86526e5
request item=54 id=mock-smoke-A-r1-000054 status=ok send_slip=768.19µs body_sha256=972a129d64146f0876eeec4e8b9f524ce5b094f67e226f89fbd425414ea121ae
request item=56 id=mock-smoke-A-r1-000056 status=ok send_slip=1.117529ms body_sha256=7027d2670ca00e9333350bc1e6add1e5960a6d85460cef718d5a228f2cf79021
request item=57 id=mock-smoke-A-r1-000057 status=ok send_slip=1.426777ms body_sha256=98f83598376db5a461f014d6db8a679953b54556ebe4651cd06a0abb2292aa75
request item=58 id=mock-smoke-A-r1-000058 status=ok send_slip=1.405491ms body_sha256=ee18e99b8d2b030b42c98c5836c8eb435c42a1fd4a401b251b70e1b3ceb6262c
request item=59 id=mock-smoke-A-r1-000059 status=ok send_slip=835.473µs body_sha256=6fa47b9f04312ad7f4efba0e07c8c06f26197047d2f688d9419ea31fe6932981
request item=52 id=mock-smoke-A-r1-000052 status=ok send_slip=860.661µs body_sha256=330c71e1ee3b6de4743d26c6d35a55d81590c8502b614dc26b06753443842bbd
request item=62 id=mock-smoke-A-r1-000062 status=ok send_slip=503.032µs body_sha256=fd80fb8944d8f07bc3c6ef16800c0c4232baff88447e229c79e235fdd1b27ee4
request item=55 id=mock-smoke-A-r1-000055 status=ok send_slip=1.000985ms body_sha256=936eacc838913fe4eccabd7f9c16d718710f429c864ec5d51baffbd479157e41
request item=64 id=mock-smoke-A-r1-000064 status=ok send_slip=614.728µs body_sha256=631908716ba47ae8d1c18ab8ba2a884040b64905140b9d0c9a139b11d626eff9
request item=60 id=mock-smoke-A-r1-000060 status=ok send_slip=753.215µs body_sha256=66380f99671f351df5f120bbf0c1032c85979b67b9718d8d0cc0fb105d161f6f
request item=61 id=mock-smoke-A-r1-000061 status=ok send_slip=1.400099ms body_sha256=a0ba1e73999291cb8b8202136a24987b6d468017b2b41f506457151627bdd673
request item=66 id=mock-smoke-A-r1-000066 status=ok send_slip=1.297482ms body_sha256=8dbfd806ae7e57e56e6d0c69a4ce0690754134352fe993b900380aa2dd35d9c2
request item=68 id=mock-smoke-A-r1-000068 status=ok send_slip=1.240353ms body_sha256=544b97b4d94f7f500c55bd98c113905c54ae65e1ca8868a96d2edf19761ee1cd
request item=63 id=mock-smoke-A-r1-000063 status=ok send_slip=1.317137ms body_sha256=6ecf945e0c14a4c61a070d0ec871ccc35b59a1fb94be712f9ee349b9dfc98284
request item=65 id=mock-smoke-A-r1-000065 status=ok send_slip=1.119328ms body_sha256=eccb2d9552fb5321bfd0edfd093aa5b815ee243672e4b217d1c92ebf97340ee1
request item=67 id=mock-smoke-A-r1-000067 status=ok send_slip=915.664µs body_sha256=a57f6c4ee1c0ae268660ac61491189a5ae9ba6132c247947f0ea5b01059fb5dc
request item=69 id=mock-smoke-A-r1-000069 status=ok send_slip=1.446191ms body_sha256=ff73cd753ddbbcb6c6488cbd117d0505befaa06f7ddd1b3091d60cfc935f0b44
request item=70 id=mock-smoke-A-r1-000070 status=ok send_slip=716.616µs body_sha256=1e8f805ae17e254f4591b9838c80b840b3f27f3aa43a57b4fb0c3144d6147864
request item=72 id=mock-smoke-A-r1-000072 status=ok send_slip=785.792µs body_sha256=1f6cde3d556411e18523fedb10b3c8e21e6013513fe2bf07864893a46b90de2e
request item=74 id=mock-smoke-A-r1-000074 status=ok send_slip=690.505µs body_sha256=4162ee0cd8ba89ac016d08e244fa7aaaaa019fc0bd386bd0120da9d23420b9d9
request item=73 id=mock-smoke-A-r1-000073 status=ok send_slip=1.193409ms body_sha256=18fc52fd2e56e7e7ec0571711e614187d7978f8cf4eea6d65a87a626680dedac
request item=71 id=mock-smoke-A-r1-000071 status=ok send_slip=1.164258ms body_sha256=581534db595a6f2a94b1296fe8fde608f47f95412bb526bba0cc2b30eb285386
request item=75 id=mock-smoke-A-r1-000075 status=ok send_slip=952.23µs body_sha256=44866683d6a904fd44b10a9cc1b58dea4786da8bd0e6485804442f7b25461eaf
request item=78 id=mock-smoke-A-r1-000078 status=ok send_slip=716.77µs body_sha256=bca06330c2edf150cc480e41a97daf0f9cfc7160bd3b7bd2bcfb34a4804471a2
request item=76 id=mock-smoke-A-r1-000076 status=ok send_slip=332.735µs body_sha256=93856618cbe09b3afdf93d4cd1dd23d9f456088312e8ffe3bb22bcebb7265a68
request item=77 id=mock-smoke-A-r1-000077 status=ok send_slip=376.753µs body_sha256=eac0368c952dadfb0c68358cd7ac86e7b2020275ac7283bd1a919a965a9aea7c
request item=80 id=mock-smoke-A-r1-000080 status=ok send_slip=372.895µs body_sha256=b0a0b8351b1b2caa73a4623e150f9c233a4df818db627aac951f2f803d3fb7ea
request item=81 id=mock-smoke-A-r1-000081 status=ok send_slip=1.071719ms body_sha256=c85b9aada91eaa7937d9c785fd6edbe1f448b017f95f0f5275397bd39374c93f
request item=79 id=mock-smoke-A-r1-000079 status=ok send_slip=1.143479ms body_sha256=eb7140c466481be35006f286f89f8547c9d202df085261980c7787ead94e8e5c
request item=83 id=mock-smoke-A-r1-000083 status=ok send_slip=964.313µs body_sha256=46505312078071d61ab6d4f2126a7132c7d5f7ee92ec82dfd24313a438a405bb
request item=82 id=mock-smoke-A-r1-000082 status=ok send_slip=629.955µs body_sha256=bf09f7591d552b9e634a50b4d749962ddbb87eab4aa0aab45609ed2fce480add
request item=85 id=mock-smoke-A-r1-000085 status=ok send_slip=921.668µs body_sha256=d55d10af6acac7875aecbf675da114bf335d188769e41c6a8712f1eb36081ddc
request item=84 id=mock-smoke-A-r1-000084 status=ok send_slip=896.644µs body_sha256=e1f4cef398dc878a46232e48c2b47ea89f86d140f001c7cfa73ac3f19939dcd9
request item=86 id=mock-smoke-A-r1-000086 status=ok send_slip=1.210192ms body_sha256=ca62c985a2b495fce96f23f9386fa7c7cafac0acd923c286c8c1b0fc85beadc8
