run_id=dryrun-rag-long-in repetition=1 requests=60 max_slip=100ms
request item=14 id=dryrun-rag-long-in-r1-000014 status=ok body_sha256=3adaba725eb66b8dfe4c494449681c18b734cd0808b3f78474f1f290c3c0f8d7
request item=16 id=dryrun-rag-long-in-r1-000016 status=ok body_sha256=8e4c2118be1ca010c06c3a3c065ce6c28074dc2d59f3891a0d384c0e94c69af7
request item=15 id=dryrun-rag-long-in-r1-000015 status=ok body_sha256=ad7abbfe239ae2df6b590c8c7b33c1fd31d45c1376191fd949be9e36c0014e9a
request item=18 id=dryrun-rag-long-in-r1-000018 status=ok body_sha256=0a4309b9fb09256a4e7d8502954160af685db1f5bc4bb55f42cc1c163c138d0f
request item=17 id=dryrun-rag-long-in-r1-000017 status=ok body_sha256=605dccc7b3002aec9c1796128cf5d8b85822045cbad6e23c5ab4378d161d6eca
request item=19 id=dryrun-rag-long-in-r1-000019 status=ok body_sha256=45e2a9e69761508654d8ac2fb6e0f992c6a25d550d1ccbcb6740e445ea075cce
request item=20 id=dryrun-rag-long-in-r1-000020 status=ok body_sha256=e32a63fb51c4ce023154b2a9eadfd37cc3ba2f3d01b6ecd82eeb6065a33c9db1
request item=21 id=dryrun-rag-long-in-r1-000021 status=ok body_sha256=e7d35a3aa1dfb75c75ad8871a7acb890350c7d59aaf903a3dbaf1df3d00e675c
request item=22 id=dryrun-rag-long-in-r1-000022 status=ok body_sha256=fa8753bfb9dd4751e94f5f14408728e5fb50b0d535ae316c4d94b35f34a23d8b
request item=24 id=dryrun-rag-long-in-r1-000024 status=ok body_sha256=d187de10d58e8056451dd540e37e0d00894dff18c35fc01d673ab1d455403039
request item=23 id=dryrun-rag-long-in-r1-000023 status=ok body_sha256=1f1a60d4e603e2ef06510ec02b8d671a021347ee2ef02251580eb107a44ba4ae
request item=25 id=dryrun-rag-long-in-r1-000025 status=ok body_sha256=4cdbbe8afc8bdd8a07d42fab487dc1d49328510e93a918431b59832ef16f34f1
request item=26 id=dryrun-rag-long-in-r1-000026 status=ok body_sha256=cda3c731b5e90d66a2977827d96eb366c17bc10ec0045eae7777a1e767f8d830
request item=27 id=dryrun-rag-long-in-r1-000027 status=ok body_sha256=28023d3cce3f97edc7158f41f4d25877e1f6b79657ccb643fbed69328849f385
request item=28 id=dryrun-rag-long-in-r1-000028 status=ok body_sha256=f5a399a19fde505be95490b966a354f82e2afe071908d0adfad40e8a7b20627b
request item=33 id=dryrun-rag-long-in-r1-000033 status=ok body_sha256=061c07a7f2825c23efb4f4cd8cf3d5a5229dea3c2f1f87d3b16b599d4d142e67
request item=29 id=dryrun-rag-long-in-r1-000029 status=ok body_sha256=e4ac2b270b1f089f0800ab6a8deb3419e3feb8764a491e4bd759dcde8a1f9fe3
request item=32 id=dryrun-rag-long-in-r1-000032 status=ok body_sha256=6cb85e79cdda183f4335a9382797b093b6ab041e17bc977974aa1d4cc0fb6730
request item=30 id=dryrun-rag-long-in-r1-000030 status=ok body_sha256=b6b11ed141191196546365bc46ddf16735886c4816dc0d8bf3bb3ab16090e723
request item=31 id=dryrun-rag-long-in-r1-000031 status=ok body_sha256=6fb3efa5bedc1a7f98e8aa5163a5a6e9856f311ee0a3ac058f9331df8b01ef28
request item=34 id=dryrun-rag-long-in-r1-000034 status=ok body_sha256=57e2bb7d393796a23e59c893b0f05d79ba37ee7c96c0543837b9e0a9b8a2f825
request item=35 id=dryrun-rag-long-in-r1-000035 status=ok body_sha256=8859e58972ceef23b99ca2aabcd9b5c81639d373345b472fcc6fbc0e69490905
request item=36 id=dryrun-rag-long-in-r1-000036 status=ok body_sha256=b4c72b1ae6090e14f9878f83f3985e6cbe45d7b9d28e9b6adae11db4a77fdca3
request item=37 id=dryrun-rag-long-in-r1-000037 status=ok body_sha256=d2d0f7e714e09d4c0cd4149cce389e8bdf9ada4e9bb263facd81d5b2caa69d35
request item=39 id=dryrun-rag-long-in-r1-000039 status=ok body_sha256=57fd607a7fe198e9d87dc2e8a5a669ae63ad020f69d5e2acd4b8ca8edda79841
request item=38 id=dryrun-rag-long-in-r1-000038 status=ok body_sha256=518235b9d47d36e4179d16e7b7c3554a6579daa3b28afe74c04d67cc5b825a63
request item=40 id=dryrun-rag-long-in-r1-000040 status=ok body_sha256=37b7c98265c7b070a93122bc77ecb83c53f2b5301c039dd858e1a0120f213674
request item=41 id=dryrun-rag-long-in-r1-000041 status=ok body_sha256=cd1656ea9653dec275beac8ffccf56b7fb3d6ba109f01d9fc2b5343321e5665a
request item=42 id=dryrun-rag-long-in-r1-000042 status=ok body_sha256=169035f72f0942c30e6e5ee947ef1bbc766eb52ca47edefa7200dfac84a1fe87
request item=44 id=dryrun-rag-long-in-r1-000044 status=ok body_sha256=9531371b550b5dbaf859edb0c95d7ffe33f152500722b6cc862e1923849029c7
request item=43 id=dryrun-rag-long-in-r1-000043 status=ok body_sha256=1ef0e2859b960065582c44548ad6a08407be1f64eb48924c89ed7dd911aff56e
request item=45 id=dryrun-rag-long-in-r1-000045 status=ok body_sha256=7d53427f74e0c1b4f2736fb6b7c0f1a128021186420328dab9868739c8c6ec56
request item=47 id=dryrun-rag-long-in-r1-000047 status=ok body_sha256=edeecbc9e37851d56c3c5c50016278a5170d3154bdb7ce4dd98af5fae42efc08
request item=46 id=dryrun-rag-long-in-r1-000046 status=ok body_sha256=d4317666c77a4fea31286cde93199e063d1ff4a39f3d6791c9404dc45ae233ce
request item=50 id=dryrun-rag-long-in-r1-000050 status=ok body_sha256=5c2de196f5764d3bb4e5c1a415c32cced7bddaad2ae3e261f3aebdcbb5ef92c4
request item=51 id=dryrun-rag-long-in-r1-000051 status=ok body_sha256=52a8d2526687a6b1990ed24dcb98d7936234e7440a2cc794d0e98d9128207c9b
request item=48 id=dryrun-rag-long-in-r1-000048 status=ok body_sha256=88eb0569a6ba48f873031312273be43605b39f82a76fe294b3f980f384320765
request item=52 id=dryrun-rag-long-in-r1-000052 status=ok body_sha256=68eaaa928124f058dfb4772da95636cfae7327fd66c7717ac538f7ed24fa4e54
request item=53 id=dryrun-rag-long-in-r1-000053 status=ok body_sha256=5500443b42afd87690c4152f518648b667238d668035aa8a34f1566b4c5e0f00
request item=54 id=dryrun-rag-long-in-r1-000054 status=ok body_sha256=823c2c73e59d4f02185da9931efe3b7ab27a964384296cad3f537520bbd9a24b
request item=49 id=dryrun-rag-long-in-r1-000049 status=ok body_sha256=c8359caa7e3df3aa1e7e4859975e1e17cf90eb3223c9c3ca45343d46488b584b
request item=56 id=dryrun-rag-long-in-r1-000056 status=ok body_sha256=588e3235cb603f671b35aa1c5ae7af278fc400bf2817465243f66c1473f85ea7
request item=55 id=dryrun-rag-long-in-r1-000055 status=ok body_sha256=026e4ac0c08030882e829df22ffc27bd470c87296ebe0a74f011c4f6ece47ad5
request item=57 id=dryrun-rag-long-in-r1-000057 status=ok body_sha256=45b3cad85fe68f6e32f477e20227a8c505c686417865a3a88d766126d2741bbe
request item=58 id=dryrun-rag-long-in-r1-000058 status=ok body_sha256=967abf6603f8848521f889af9a60db2a73d5697114c66614d795f89748f9c1f3
request item=59 id=dryrun-rag-long-in-r1-000059 status=ok body_sha256=1d6f89616deb20e3b0b91c86540af3706b7d11af71f9b8ab1022e2c811184832
summary sent=60 ok=60 errors=0 shed=0 canceled=0 max_dispatch_slip=3.016527ms usage_missing=0 wall=31.013s
